Name,Symbol,RIC,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Sector,Full Name,Activity,DocumentTitle,IssueISIN,SEDOL,TickerSymbol,IssuerOAPermID,FundClassLipperID,CUSIP
Bharat Electronics,IN:BHE,BAJE.NS,20/09/1993,1993,Equities,National India,India,Indian Rupee,Equity,Aerospace and Defense,Bharat Electronics,Active,"Bharat Electronics Ltd, Ordinary Share, National Stock Exchange of India",INE263A01024,,BEL,4295873541.0,,
Zen Technologies,IN:ZNT,ZETE.NS,28/10/2004,2004,Equities,National India,India,Indian Rupee,Equity,Aerospace and Defense,Zen Technologies,Active,"Zen Technologies Ltd, Ordinary Share, National Stock Exchange of India",INE251B01027,,ZENTEC,4295872590.0,,
Suzlon Energy,IN:SZE,SUZL.NS,18/10/2005,2005,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Suzlon Energy,Active,"Suzlon Energy Ltd, Ordinary Share, National Stock Exchange of India",INE040H01021,,SUZLON,4295872718.0,,
Websol Energy Systems,IN:WRS,WESL.NS,02/01/1995,1995,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Websol Energy Systems,Active,"Websol Energy System Ltd, Ordinary Share, National Stock Exchange of India",INE855C01023,,WEBELSOLAR,4295872474.0,,
Swelect Energy Systems,IN:NPS,SWEL.NS,01/03/2004,2004,Equities,National India,India,Indian Rupee,Equity,Alternative Energy,Swelect Energy Systems,Active,"Swelect Energy Systems Ltd, Ordinary Share, National Stock Exchange of India",INE409B01013,,SWELECTES,4295872355.0,,
Steel Strips Wheels,IN:SW,STWH.NS,31/03/1995,1995,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Steel Strips Wheels,Active,"Steel Strips Wheels Ltd, Ordinary Share, National Stock Exchange of India",INE802C01033,,SSWL,4295872393.0,,
The Bombay Burmah Trading Corporation,IN:BOB,BBRM.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,The Bombay Burmah Trading Corporation,Active,"Bombay Burmah Trading Corporation, Ltd, Ordinary Share, National Stock Exchange of India",INE050A01025,,BBTC,4295874343.0,,
Asahi India Glass,IN:AIG,AISG.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Asahi India Glass,Active,"Asahi India Glass Ltd, Ordinary Share, National Stock Exchange of India",INE439A01020,,ASAHIINDIA,4295872532.0,,
Subros,IN:ROS,SUBR.NS,01/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Subros,Active,"Subros Ltd, Ordinary Share, National Stock Exchange of India",INE287B01021,,SUBROS,4295873002.0,,
Lumax Industries,IN:LXI,LUMA.NS,02/01/1990,1990,Equities,National India,India,Indian Rupee,Equity,Automobiles and Parts,Lumax Industries,Active,"Lumax Industries Ltd, Ordinary Share, National Stock Exchange of India",INE162B01018,,LUMAXIND,4295873308.0,,
